130111,Lyndon,Crawford,l.crawford@randatmail.com,Male,835448563,jl. a,jakarta
130112,Honey,Adams,h.adams@randatmail.com,Female,034345640,jl. b,jakarta
130113,Alan,West,a.west@randatmail.com,Male,580863012,jl. c,jakarta
130114,Spike,Harper,s.harper@randatmail.com,Male,936499749,jl. d,jakarta
130115,John,Jones,j.jones@randatmail.com,Male,593656271,jl. e,jakarta
130116,Victoria,Riley,v.riley@randatmail.com,Female,400420894,jl. f,jakarta
130117,Arnold,Grant,a.grant@randatmail.com,Male,238788416,jl. g,jakarta
130118,Victoria,Robinson,v.robinson@randatmail.com,Female,431953336,jl. h,jakarta
130119,Kelvin,Fowler,k.fowler@randatmail.com,Male,302294017,jl. i,jakarta
130121,Lucas,Cooper,l.cooper@randatmail.com,Male,873446631,jl. j,jakarta
130122,Arnold,Bailey,a.bailey@randatmail.com,Male,233282376,jl. k,jakarta
130123,Savana,Phillips,s.phillips@randatmail.com,Female,865316510,jl. l,jakarta
130124,Eddy,Watson,e.watson@randatmail.com,Male,272896996,jl. m,jakarta
130125,Evelyn,Carroll,e.carroll@randatmail.com,Female,397833946,jl. n,jakarta
130126,Reid,Craig,r.craig@randatmail.com,Male,890427912,jl. o,jakarta
130127,Brianna,Bailey,b.bailey@randatmail.com,Female,601828154,jl. p,jakarta
130128,Aida,Payne,a.payne@randatmail.com,Female,546066933,jl. q,jakarta
130129,Nicole,Russell,n.russell@randatmail.com,Female,714498228,jl. r,jakarta
130130,Charlotte,Richardson,c.richardson@randatmail.com,Female,075800758,jl. s,jakarta
130131,Tiana,Farrell,t.farrell@randatmail.com,Female,254674302,jl. t,jakarta
130132,Alford,Watson,a.watson@randatmail.com,Male,567907831,jl. u,jakarta
130133,Arianna,Roberts,a.roberts@randatmail.com,Female,328773562,jl. v,jakarta
130134,Jenna,Ellis,j.ellis@randatmail.com,Female,435046452,jl. w,jakarta
130135,Freddie,Anderson,f.anderson@randatmail.com,Male,405443935,jl. x,jakarta
130136,John,Morris,j.morris@randatmail.com,Male,875334178,jl. y,jakarta
130137,Maya,Russell,m.russell@randatmail.com,Female,001935861,jl. z,jakarta
130138,Carina,Hall,c.hall@randatmail.com,Female,548482768,jl. aa,jakarta
130139,Martin,Adams,m.adams@randatmail.com,Male,883197318,jl. bb,jakarta
130140,Mary,Lloyd,m.lloyd@randatmail.com,Female,172272898,jl. fish,jakarta
1111111,Kate,Gray,k.gray@randatmail.com,Female,755527665,jl. chicken,Bandung
222222,louise,lucas,"loulu@gmail.com",Male,0872222222,jl. cow,Bandung
333333,cheng,hua,"bestcheng@gmail.com",Female,0873333333,jl. firefly,Bandung
444444,xiao,po,"xiaopo@gmail.com",Male,0874444444,jl. ant,Bandung
555555,ola,olaza,"olazaola@gmail.com",Female,0875555555,jl. cat,Bandung
